commit	strategy	model_name	n_free_params	n_subjects	n_opt_steps	lr	noise_sigma	spectral_loss	free_energy	theta_map	wall_time	status
ed2de53	multistart_seed30	cmc	3	0	120	0.05	0.0003	32.983951568603516	-37.81226530590582	[-1.2152304649353027, -1.215209722518921, -3.7038968002889305e-05]	22.469559028977528	ok
ed2de53	multistart_seed10	rrw	3	0	120	0.05	0.0003	1603.4146728515625	-1608.2429865888648	[3.6362361907958984, 3.6558876037597656, -3.0249991416931152]	21.32817658095155	ok
ed2de53	multistart_seed20	rrw	3	0	120	0.05	0.0003	1603.5980224609375	-1608.4263361982398	[3.6361312866210938, 3.6564056873321533, -3.0249991416931152]	21.258519192924723	ok
ed2de53	multistart_seed30	rrw	3	0	120	0.05	0.0003	1603.6170654296875	-1608.4453791669898	[3.636364221572876, 3.656599283218384, -3.0249991416931152]	21.236853425041772	ok
ed2de53	multistart_seed10	cbei	3	0	120	0.05	0.0003	3797.63427734375	-3802.4625910810523	[0.0, 0.016538837924599648, 0.0010659233666956425]	25.91650326899253	ok
ed2de53	multistart_seed20	cbei	3	0	120	0.05	0.0003	3809.3662109375	-3814.1945246748023	[0.0, 0.0021751346066594124, 0.0007034974405542016]	25.908029032987542	ok
ed2de53	multistart_seed30	cbei	3	0	120	0.05	0.0003	3799.774169921875	-3804.6024836591773	[0.0, 0.0346001535654068, 0.0009422530420124531]	25.91539614100475	ok
ed2de53	warmup_tight_clip	liley	2	2	200	0.07	0.0002	546.0631103515625	-549.2819861764307	[0.6642722487449646, 0.0003735420759767294]	38.54270858608652	ok
ed2de53	warmup_tight_clip	liley	2	2	200	0.07	0.0002	546.1010131835938	-549.3198890084619	[0.6642430424690247, 0.00037575385067611933]	38.57799429399893	ok
ed2de53	warmup_tight_clip	cmc	2	2	200	0.07	0.0002	18.70094108581543	-21.91981691068363	[-2.421541690826416, -0.003461380023509264]	26.874887019046582	ok
ed2de53	warmup_tight_clip	cmc	2	2	200	0.07	0.0002	18.698659896850586	-21.917535721718785	[-2.4216256141662598, -0.003527421038597822]	26.83333693095483	ok
ed2de53	warmup_tight_clip	rrw	2	2	200	0.07	0.0002	206.29278564453125	-209.51166146939946	[1.7974207401275635, 12.246397972106934]	29.68937445397023	ok
ed2de53	warmup_tight_clip	rrw	2	2	200	0.07	0.0002	206.197509765625	-209.4163855904932	[1.7973508834838867, 12.248661041259766]	29.822373660979792	ok
ed2de53	warmup_tight_clip	cbei	2	2	200	0.07	0.0002	1907.6282958984375	-1910.8471717233058	[0.0, -0.025622623041272163]	35.72658420202788	ok
ed2de53	warmup_tight_clip	cbei	2	2	200	0.07	0.0002	1909.8685302734375	-1913.0874060983058	[0.0, -0.004948929417878389]	35.81515202007722	ok
ed2de53	relaxed_prior_cosine	liley	3	2	175	0.05	0.0001	436.2428283691406	-441.07114210644295	[6.030445575714111, 2.449784915370401e-06, -4.997038558940403e-05]	35.095924257999286	ok
ed2de53	relaxed_prior_cosine	liley	3	2	175	0.05	0.0001	436.2586669921875	-441.0869807294898	[6.0304460525512695, 2.4498497168679023e-06, -4.996806455892511e-05]	35.15799151896499	ok
ed2de53	relaxed_prior_cosine	cmc	3	2	175	0.05	0.0001	16.123245239257812	-20.951558976560115	[-1.2163795232772827, -1.216359257698059, 0.00015224982053041458]	28.717650886974297	ok
ed2de53	relaxed_prior_cosine	cmc	3	2	175	0.05	0.0001	16.124574661254883	-20.952888398557185	[-1.2163848876953125, -1.216365098953247, 0.0001522833335911855]	28.865978455985896	ok
ed2de53	relaxed_prior_cosine	rrw	3	2	175	0.05	0.0001	457.816650390625	-462.6449641279273	[5.534022808074951, 5.7429351806640625, -2.9809398651123047]	28.989206927944906	ok
ed2de53	relaxed_prior_cosine	rrw	3	2	175	0.05	0.0001	457.7947692871094	-462.6230830244117	[5.534160614013672, 5.74300479888916, -2.9808151721954346]	28.830031299963593	ok
ed2de53	relaxed_prior_cosine	cbei	3	2	175	0.05	0.0001	1865.62548828125	-1870.4538020185523	[0.0, -0.10432188957929611, -3.2430498600006104]	32.66627448098734	ok
ed2de53	relaxed_prior_cosine	cbei	3	2	175	0.05	0.0001	1867.154296875	-1871.9826106123023	[0.0, -0.08114142715930939, -3.24109148979187]	32.634774768026546	ok
ed2de53	best_aggregate	ALL	0	2	0	0.0	0.0	496.75398540496826	-inf	[]	0.0	ok
