commit	strategy	model_name	n_free_params	n_subjects	n_opt_steps	lr	noise_sigma	spectral_loss	free_energy	theta_map	wall_time	status
9152d9f	warmup_4params_300steps	cbei	4	2	300	0.08	0.001	1786.899169921875	-1793.3369215716114	[0.0, 0.013197517022490501, 0.0027863329742103815, -0.4097271263599396]	57.535494016017765	ok
9152d9f	warmup_4params_300steps	ALL	0	2	0	0.0	0.0	976.3459758758545	-inf	[]	0.0	ok
9152d9f	constant_excitatory_focus_150steps	liley	4	2	150	0.03	0.0002	65.09854888916016	-71.53630053889655	[0.018708162009716034, -0.00038536256761290133, 0.4704079329967499, -4.3414764404296875]	37.063850993989035	ok
9152d9f	constant_excitatory_focus_150steps	liley	4	2	150	0.03	0.0002	65.10254669189453	-71.54029834163093	[0.018708745017647743, -0.0003854208334814757, 0.47043806314468384, -4.341558456420898]	37.025100801023655	ok
9152d9f	constant_excitatory_focus_150steps	cmc	4	2	150	0.03	0.0002	18.392841339111328	-24.83059298884773	[-0.985621452331543, -0.9855396747589111, -0.5890538692474365, -1.1852372153953183e-05]	31.115369190985803	ok
9152d9f	constant_excitatory_focus_150steps	cmc	4	2	150	0.03	0.0002	18.392881393432617	-24.83063304316902	[-0.9855759739875793, -0.9854901432991028, -0.5890630483627319, -1.185228302347241e-05]	31.07661902299151	ok
9152d9f	constant_excitatory_focus_150steps	rrw	4	2	150	0.03	0.0002	1690.469482421875	-1696.9072340716114	[0.0, 4.499997138977051, 0.051599033176898956, 2.662703514099121]	30.814849636051804	ok
9152d9f	constant_excitatory_focus_150steps	rrw	4	2	150	0.03	0.0002	2390.178955078125	-2396.6167067278616	[0.0, -0.26771363615989685, 2.843091351678595e-06, -2.5983939170837402]	30.874969478987623	ok
9152d9f	constant_excitatory_focus_150steps	cbei	4	2	150	0.03	0.0002	1283.7698974609375	-1290.2076491106739	[0.0, 4.1865620613098145, -1.205938696861267, 4.499997138977051]	29.251592985005118	ok
9152d9f	constant_excitatory_focus_150steps	cbei	4	2	150	0.03	0.0002	1286.423583984375	-1292.8613356341114	[0.0, 4.164050579071045, -1.2046823501586914, 4.499997138977051]	29.322697953961324	ok
